morpheme_nl,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_nl,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
goede,good,GOOD,GOOD,adj,M-F,M-F,,,,,,,,,,,
slechte,bad,BAD,BAD,adj,M-F,M-F,,,,,,,,,,,
kleine,small,SMALL,SMALL,adj,M-F,M-F,,,,,,,,,,,
man_,man,MAN,HUMAN,noun,M,F,mover,,,,,,,,,,
jongen,boy,BOY,CHILD,noun,M,F,mover,,,,,,,,,,
vader,father,FATHER,PARENT,noun,M,F,mover,,,,,,,,,,
broer,brother,BROTHER,SIBLING,noun,M,F,mover,,,,,,,,,,
opa,grandfather,GRANDFATHER,GRANDPARENT,noun,M,F,mover,,,,,,,,,,
oom,uncle,UNCLE,UNCLES,noun,M,F,mover,,,,,,,,,,
gastheer,host,HOST,HOST,noun,M,F,mover,,,,,,,,,,
kelner,waiter,WAITER,WAITER,noun,M,F,mover,,,,,,,,,,
heer,gentleman,GENTLEMAN,GENTLEMAN,noun,M,F,mover,,,,,,,,,,
hond,dog,DOG,DOG,noun,M,F,mover,,,,,,,,,,
vrouw,woman,WOMAN,HUMAN,noun,F,F,mover,,,,,,,,,,
meisje,girl,GIRL,CHILD,noun,F,M,mover,,,,,,,,,,
moeder,mother,MOTHER,PARENT,noun,F,F,mover,,,,,,,,,,
zus,sister,SISTER,SIBLING,noun,F,F,mover,,,,,,,,,,
oma,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,mover,,,,,,,,,,
tante,aunt,AUNT,UNCLES,noun,F,F,mover,,,,,,,,,,
gastvrouw,hostess,HOSTESS,HOST,noun,F,F,mover,,,,,,,,,,
dame,lady,LADY,LADY,noun,F,F,mover,,,,,,,,,,
kelnerin,waitress,WAITRESS,WAITER,noun,F,F,mover,,,,,,,,,,
kat,cat,CAT,CAT,noun,F,F,mover,,,,,,,,,,
auto,car,CAR,VEHICLE,noun,,F,mover,,,,,,,,,,
fiets,bicycle,BICYCLE,VEHICLE,noun,,F,mover,,,,,,,,,,
trein,train,TRAIN,VEHICLE,noun,,F,mover,,,,,,,,,,
motor,motorcycle,MOTORCYCLE,VEHICLE,noun,,F,mover,,,,,,,,,,
man_,man,MAN,HUMAN,noun,M,F,recipient,,,,,,,,,,
jongen,boy,BOY,CHILD,noun,M,F,recipient,,,,,,,,,,
vader,father,FATHER,PARENT,noun,M,F,recipient,,,,,,,,,,
broer,brother,BROTHER,SIBLING,noun,M,F,recipient,,,,,,,,,,
opa,grandfather,GRANDFATHER,GRANDPARENT,noun,M,F,recipient,,,,,,,,,,
oom,uncle,UNCLE,UNCLES,noun,M,F,recipient,,,,,,,,,,
gastheer,host,HOST,HOST,noun,M,F,recipient,,,,,,,,,,
kelner,waiter,WAITER,WAITER,noun,M,F,recipient,,,,,,,,,,
heer,gentleman,GENTLEMAN,GENTLEMAN,noun,M,F,recipient,,,,,,,,,,
hond,dog,DOG,DOG,noun,M,F,recipient,,,,,,,,,,
vrouw,woman,WOMAN,HUMAN,noun,F,F,recipient,,,,,,,,,,
meisje,girl,GIRL,CHILD,noun,F,M,recipient,,,,,,,,,,
moeder,mother,MOTHER,PARENT,noun,F,F,recipient,,,,,,,,,,
zus,sister,SISTER,SIBLING,noun,F,F,recipient,,,,,,,,,,
oma,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,recipient,,,,,,,,,,
tante,aunt,AUNT,UNCLES,noun,F,F,recipient,,,,,,,,,,
gastvrouw,hostess,HOSTESS,HOST,noun,F,F,recipient,,,,,,,,,,
dame,lady,LADY,LADY,noun,F,F,recipient,,,,,,,,,,
kelnerin,waitress,WAITRESS,WAITER,noun,F,F,recipient,,,,,,,,,,
kat,cat,CAT,CAT,noun,F,F,recipient,,,,,,,,,,
dorp,village,VILLAGE,PLACE,noun,,M,recipient,,,,,,,,,,
kantoor,office,OFFICE,PLACE,noun,,M,recipient,,,,,,,,,,
school_,school,SCHOOL,PLACE,noun,,F,recipient,,,,,,,,,,
boerderij,farm,FARM,PLACE,noun,,F,recipient,,,,,,,,,,
is_,is,,,aux,,,auxiliary_verb,present,progressive,singular,,,,,,,
was_,was,,,aux,,,auxiliary_verb,past,progressive,singular,,,,,,,
wordt,is,,,aux,,,auxiliary_verb,present,perfect_pass,singular,,,,,,,
werd,was,,,aux,,,auxiliary_verb,past,perfect_pass,singular,,,,,,,
heeft,has,,,aux,,,auxiliary_verb,present,perfect,singular,,,,,,,
-vdw,-par,,,prf,,,,,,,,,,,,,
-dur,-prg,,,prg,,,,,,,,,,,,,
-ver,-pst,,,past,,,,,,,,,,,,,
dansen,dance,DANCE,DANCE,verb,,,anim-intrans,,,,,,,,,,
